Date,Index
1980-01,67.0
1980-02,66.9
1980-03,56.5
1980-04,52.7
1980-05,51.7
1980-06,58.7
1980-07,62.3
1980-08,67.3
1980-09,73.7
1980-10,75.0
1980-11,76.7
1980-12,64.5
1981-01,71.4
1981-02,66.9
1981-03,66.5
1981-04,72.4
1981-05,76.3
1981-06,73.1
1981-07,74.1
1981-08,77.2
1981-09,73.1
1981-10,70.3
1981-11,62.5
1981-12,64.3
1982-01,71.0
1982-02,66.5
1982-03,62.0
1982-04,65.5
1982-05,67.5
1982-06,65.7
1982-07,65.4
1982-08,65.4
1982-09,69.3
1982-10,73.4
1982-11,72.1
1982-12,71.9
1983-01,70.4
1983-02,74.6
1983-03,80.8
1983-04,89.1
1983-05,93.3
1983-06,92.2
1983-07,92.8
1983-08,90.9
1983-09,89.9
1983-10,89.3
1983-11,91.1
1983-12,94.2
1984-01,100.1
1984-02,97.4
1984-03,101.0
1984-04,96.1
1984-05,98.1
1984-06,95.5
1984-07,96.6
1984-08,99.1
1984-09,100.9
1984-10,96.3
1984-11,95.7
1984-12,92.9
1985-01,96.0
1985-02,93.7
1985-03,93.7
1985-04,94.6
1985-05,91.8
1985-06,96.5
1985-07,94.0
1985-08,92.4
1985-09,92.1
1985-10,88.4
1985-11,90.9
1985-12,93.9
1986-01,95.6
1986-02,95.9
1986-03,95.1
1986-04,96.2
1986-05,94.8
1986-06,99.3
1986-07,97.7
1986-08,94.9
1986-09,91.9
1986-10,95.6
1986-11,91.4
1986-12,89.1
1987-01,90.4
1987-02,90.2
1987-03,90.8
1987-04,92.8
1987-05,91.1
1987-06,91.5
1987-07,93.7
1987-08,94.4
1987-09,93.6
1987-10,89.3
1987-11,83.1
1987-12,86.8
1988-01,90.8
1988-02,91.6
1988-03,94.6
1988-04,91.2
1988-05,94.8
1988-06,94.7
1988-07,93.4
1988-08,97.4
1988-09,97.3
1988-10,94.1
1988-11,93.0
1988-12,91.9
1989-01,97.9
1989-02,95.4
1989-03,94.3
1989-04,91.5
1989-05,90.7
1989-06,90.6
1989-07,92.0
1989-08,89.6
1989-09,95.8
1989-10,93.9
1989-11,90.9
1989-12,90.5
1990-01,93.0
1990-02,89.5
1990-03,91.3
1990-04,93.9
1990-05,90.6
1990-06,88.3
1990-07,88.2
1990-08,76.4
1990-09,72.8
1990-10,63.9
1990-11,66.0
1990-12,65.5
1991-01,66.8
1991-02,70.4
1991-03,87.7
1991-04,81.8
1991-05,78.3
1991-06,82.1
1991-07,82.9
1991-08,82.0
1991-09,83.0
1991-10,78.3
1991-11,69.1
1991-12,68.2
1992-01,67.5
1992-02,68.8
1992-03,76.0
1992-04,77.2
1992-05,79.2
1992-06,80.4
1992-07,76.6
1992-08,76.1
1992-09,75.6
1992-10,73.3
1992-11,85.3
1992-12,91.0
1993-01,89.3
1993-02,86.6
1993-03,85.9
1993-04,85.6
1993-05,80.3
1993-06,81.5
1993-07,77.0
1993-08,77.3
1993-09,77.9
1993-10,82.7
1993-11,81.2
1993-12,88.2
1994-01,94.3
1994-02,93.2
1994-03,91.5
1994-04,92.6
1994-05,92.8
1994-06,91.2
1994-07,89.0
1994-08,91.7
1994-09,91.5
1994-10,92.7
1994-11,91.6
1994-12,95.1
1995-01,97.6
1995-02,95.1
1995-03,90.3
1995-04,92.5
1995-05,89.8
1995-06,92.7
1995-07,94.4
1995-08,96.2
1995-09,88.9
1995-10,90.2
1995-11,88.2
1995-12,91.0
1996-01,89.3
1996-02,88.5
1996-03,93.7
1996-04,92.7
1996-05,89.4
1996-06,92.4
1996-07,94.7
1996-08,95.3
1996-09,94.7
1996-10,96.5
1996-11,99.2
1996-12,96.9
1997-01,97.4
1997-02,99.7
1997-03,100.0
1997-04,101.4
1997-05,103.2
1997-06,104.5
1997-07,107.1
1997-08,104.4
1997-09,106.0
1997-10,105.6
1997-11,107.2
1997-12,102.1
1998-01,106.6
1998-02,110.4
1998-03,106.5
1998-04,108.7
1998-05,106.5
1998-06,105.6
1998-07,105.2
1998-08,104.4
1998-09,100.9
1998-10,97.4
1998-11,102.7
1998-12,100.5
1999-01,103.9
1999-02,108.1
1999-03,105.7
1999-04,104.6
1999-05,106.8
1999-06,107.3
1999-07,106.0
1999-08,104.5
1999-09,107.2
1999-10,103.2
1999-11,107.2
1999-12,105.4
2000-01,112.0
2000-02,111.3
2000-03,107.1
2000-04,109.2
2000-05,110.7
2000-06,106.4
2000-07,108.3
2000-08,107.3
2000-09,106.8
2000-10,105.8
2000-11,107.6
2000-12,98.4
2001-01,94.7
2001-02,90.6
2001-03,91.5
2001-04,88.4
2001-05,92.0
2001-06,92.6
2001-07,92.4
2001-08,91.5
2001-09,81.8
2001-10,82.7
2001-11,83.9
2001-12,88.8
2002-01,93.0
2002-02,90.7
2002-03,95.7
2002-04,93.0
2002-05,96.9
2002-06,92.4
2002-07,88.1
2002-08,87.6
2002-09,86.1
2002-10,80.6
2002-11,84.2
2002-12,86.7
2003-01,82.4
2003-02,79.9
2003-03,77.6
2003-04,86.0
2003-05,92.1
2003-06,89.7
2003-07,90.9
2003-08,89.3
2003-09,87.7
2003-10,89.6
2003-11,93.7
2003-12,92.6
2004-01,103.8
2004-02,94.4
2004-03,95.8
2004-04,94.2
2004-05,90.2
2004-06,95.6
2004-07,96.7
2004-08,95.9
2004-09,94.2
2004-10,91.7
2004-11,92.8
2004-12,97.1
2005-01,95.5
2005-02,94.1
2005-03,92.6
2005-04,87.7
2005-05,86.9
2005-06,96.0
2005-07,96.5
2005-08,89.1
2005-09,76.9
2005-10,74.2
2005-11,81.6
2005-12,91.5
2006-01,91.2
2006-02,86.7
2006-03,88.9
2006-04,87.4
2006-05,79.1
2006-06,84.9
2006-07,84.7
2006-08,82.0
2006-09,85.4
2006-10,93.6
2006-11,92.1
2006-12,91.7
2007-01,96.9
2007-02,91.3
2007-03,88.4
2007-04,87.1
2007-05,88.3
2007-06,85.3
2007-07,90.4
2007-08,83.4
2007-09,83.4
2007-10,80.9
2007-11,76.1
2007-12,75.5
2008-01,78.4
2008-02,70.8
2008-03,69.5
2008-04,62.6
2008-05,59.8
2008-06,56.4
2008-07,61.2
2008-08,63.0
2008-09,70.3
2008-10,57.6
2008-11,55.3
2008-12,60.1
2009-01,61.2
2009-02,56.3
2009-03,57.3
2009-04,65.1
2009-05,68.7
2009-06,70.8
2009-07,66.0
2009-08,65.7
2009-09,73.5
2009-10,70.6
2009-11,67.4
2009-12,72.5
2010-01,74.4
2010-02,73.6
2010-03,73.6
2010-04,72.2
2010-05,73.6
2010-06,76.0
2010-07,67.8
2010-08,68.9
2010-09,68.2
2010-10,67.7
2010-11,71.6
2010-12,74.5
2011-01,74.2
2011-02,77.5
2011-03,67.5
2011-04,69.8
2011-05,74.3
2011-06,71.5
2011-07,63.7
2011-08,55.8
2011-09,59.5
2011-10,60.8
2011-11,63.7
2011-12,69.9
2012-01,75.0
2012-02,75.3
2012-03,76.2
2012-04,76.4
2012-05,79.3
2012-06,73.2
2012-07,72.3
2012-08,74.3
2012-09,78.3
2012-10,82.6
2012-11,82.7
2012-12,72.9
2013-01,73.8
2013-02,77.6
2013-03,78.6
2013-04,76.4
2013-05,84.5
2013-06,84.1
2013-07,85.1
2013-08,82.1
2013-09,77.5
2013-10,73.2
2013-11,75.1
2013-12,82.5
2014-01,81.2
2014-02,81.6
2014-03,80.0
2014-04,84.1
2014-05,81.9
2014-06,82.5
2014-07,81.8
2014-08,82.5
2014-09,84.6
2014-10,86.9
2014-11,88.8
2014-12,93.6
2015-01,98.1
2015-02,95.4
2015-03,93.0
2015-04,95.9
2015-05,90.7
2015-06,96.1
2015-07,93.1
2015-08,91.9
2015-09,87.2
2015-10,90.0
2015-11,91.3
2015-12,92.6
2016-01,92.0
2016-02,91.7
2016-03,91.0
2016-04,89.0
2016-05,94.7
2016-06,93.5
2016-07,90.0
2016-08,89.8
2016-09,91.2
2016-10,87.2
2016-11,93.8
2016-12,98.2
2017-01,98.5
2017-02,96.3
2017-03,96.9
2017-04,97.0
2017-05,97.1
2017-06,95.0
2017-07,93.4
2017-08,96.8
2017-09,95.1
2017-10,100.7
2017-11,98.5
2017-12,95.9
2018-01,95.7
2018-02,99.7
2018-03,101.4
2018-04,98.8
2018-05,98.0
2018-06,98.2
2018-07,97.9
2018-08,96.2
2018-09,100.1
2018-10,98.6
2018-11,97.5
2018-12,98.3
2019-01,91.2
2019-02,93.8
2019-03,98.4
2019-04,97.2
2019-05,100.0
2019-06,98.2
2019-07,98.4
2019-08,89.8
2019-09,93.2
2019-10,95.5
2019-11,96.8
2019-12,99.3
2020-01,99.8
2020-02,101.0
2020-03,89.1
2020-04,71.8
2020-05,72.3
2020-06,78.1
2020-07,72.5
2020-08,74.1
2020-09,80.4
2020-10,81.8
2020-11,76.9
2020-12,80.7
2021-01,79.0
2021-02,76.8
2021-03,84.9
2021-04,88.3
2021-05,82.9
2021-06,85.5
2021-07,81.2
2021-08,70.3
2021-09,72.8
2021-10,71.7
2021-11,67.4
2021-12,70.6
2022-01,67.2
2022-02,62.8
2022-03,59.4
2022-04,65.2
2022-05,58.4
2022-06,50.0
2022-07,51.5
2022-08,58.2
2022-09,58.6
2022-10,59.9
2022-11,56.8
2022-12,59.7
2023-01,64.9
2023-02,67.0
2023-03,62.0
2023-04,63.5
2023-05,59.2
2023-06,64.4
