Series Id,Year,Period,Value
CEU0500000013,2006,M03,10.05
CEU0500000013,2006,M04,10.10
CEU0500000013,2006,M05,9.91
CEU0500000013,2006,M06,9.88
CEU0500000013,2006,M07,9.97
CEU0500000013,2006,M08,9.87
CEU0500000013,2006,M09,10.03
CEU0500000013,2006,M10,10.16
CEU0500000013,2006,M11,10.14
CEU0500000013,2006,M12,10.21
CEU0500000013,2007,M01,10.22
CEU0500000013,2007,M02,10.21
CEU0500000013,2007,M03,10.10
CEU0500000013,2007,M04,10.16
CEU0500000013,2007,M05,9.99
CEU0500000013,2007,M06,9.97
CEU0500000013,2007,M07,10.05
CEU0500000013,2007,M08,10.00
CEU0500000013,2007,M09,10.13
CEU0500000013,2007,M10,10.06
CEU0500000013,2007,M11,10.02
CEU0500000013,2007,M12,10.14
CEU0500000013,2008,M01,10.09
CEU0500000013,2008,M02,10.09
CEU0500000013,2008,M03,10.08
CEU0500000013,2008,M04,9.98
CEU0500000013,2008,M05,9.88
CEU0500000013,2008,M06,9.82
CEU0500000013,2008,M07,9.75
CEU0500000013,2008,M08,9.81
CEU0500000013,2008,M09,9.91
CEU0500000013,2008,M10,10.02
CEU0500000013,2008,M11,10.34
CEU0500000013,2008,M12,10.45
CEU0500000013,2009,M01,10.44
CEU0500000013,2009,M02,10.47
CEU0500000013,2009,M03,10.45
CEU0500000013,2009,M04,10.38
CEU0500000013,2009,M05,10.31
CEU0500000013,2009,M06,10.18
CEU0500000013,2009,M07,10.22
CEU0500000013,2009,M08,10.27
CEU0500000013,2009,M09,10.28
CEU0500000013,2009,M10,10.30
CEU0500000013,2009,M11,10.37
CEU0500000013,2009,M12,10.36
CEU0500000013,2010,M01,10.39
CEU0500000013,2010,M02,10.41
CEU0500000013,2010,M03,10.33
CEU0500000013,2010,M04,10.33
CEU0500000013,2010,M05,10.36
CEU0500000013,2010,M06,10.25
CEU0500000013,2010,M07,10.28
CEU0500000013,2010,M08,10.32
CEU0500000013,2010,M09,10.35
CEU0500000013,2010,M10,10.37
CEU0500000013,2010,M11,10.37
CEU0500000013,2010,M12,10.38
CEU0500000013,2011,M01,10.52
CEU0500000013,2011,M02,10.39
CEU0500000013,2011,M03,10.25
CEU0500000013,2011,M04,10.21
CEU0500000013,2011,M05,10.20
CEU0500000013,2011,M06,10.11
CEU0500000013,2011,M07,10.15
CEU0500000013,2011,M08,10.09
CEU0500000013,2011,M09,10.16
CEU0500000013,2011,M10,10.29
CEU0500000013,2011,M11,10.23
CEU0500000013,2011,M12,10.28
CEU0500000013,2012,M01,10.39
CEU0500000013,2012,M02,10.28
CEU0500000013,2012,M03,10.20
CEU0500000013,2012,M04,10.26
CEU0500000013,2012,M05,10.15
CEU0500000013,2012,M06,10.14
CEU0500000013,2012,M07,10.25
CEU0500000013,2012,M08,10.10
CEU0500000013,2012,M09,10.22
CEU0500000013,2012,M10,10.16
CEU0500000013,2012,M11,10.24
CEU0500000013,2012,M12,10.38
CEU0500000013,2013,M01,10.37
CEU0500000013,2013,M02,10.29
CEU0500000013,2013,M03,10.24
CEU0500000013,2013,M04,10.29
CEU0500000013,2013,M05,10.21
CEU0500000013,2013,M06,10.24
CEU0500000013,2013,M07,10.19
CEU0500000013,2013,M08,10.17
CEU0500000013,2013,M09,10.32
CEU0500000013,2013,M10,10.29
CEU0500000013,2013,M11,10.34
CEU0500000013,2013,M12,10.43
CEU0500000013,2014,M01,10.41
CEU0500000013,2014,M02,10.47
CEU0500000013,2014,M03,10.36
CEU0500000013,2014,M04,10.29
CEU0500000013,2014,M05,10.21
CEU0500000013,2014,M06,10.25
CEU0500000013,2014,M07,10.20
CEU0500000013,2014,M08,10.22
CEU0500000013,2014,M09,10.29
CEU0500000013,2014,M10,10.33
CEU0500000013,2014,M11,10.49
CEU0500000013,2014,M12,10.47
CEU0500000013,2015,M01,10.64
CEU0500000013,2015,M02,10.67
CEU0500000013,2015,M03,10.60
CEU0500000013,2015,M04,10.54
CEU0500000013,2015,M05,10.46
CEU0500000013,2015,M06,10.38
CEU0500000013,2015,M07,10.40
CEU0500000013,2015,M08,10.51
CEU0500000013,2015,M09,10.53
CEU0500000013,2015,M10,10.57
CEU0500000013,2015,M11,10.69
CEU0500000013,2015,M12,10.65
CEU0500000013,2016,M01,10.76
CEU0500000013,2016,M02,10.75
CEU0500000013,2016,M03,10.70
CEU0500000013,2016,M04,10.70
CEU0500000013,2016,M05,10.69
CEU0500000013,2016,M06,10.54
CEU0500000013,2016,M07,10.61
CEU0500000013,2016,M08,10.59
CEU0500000013,2016,M09,10.66
CEU0500000013,2016,M10,10.76
CEU0500000013,2016,M11,10.71
CEU0500000013,2016,M12,10.72
CEU0500000013,2017,M01,10.83
CEU0500000013,2017,M02,10.74
CEU0500000013,2017,M03,10.72
CEU0500000013,2017,M04,10.80
CEU0500000013,2017,M05,10.68
CEU0500000013,2017,M06,10.63
CEU0500000013,2017,M07,10.76
CEU0500000013,2017,M08,10.66
CEU0500000013,2017,M09,10.72
CEU0500000013,2017,M10,10.79
CEU0500000013,2017,M11,10.73
CEU0500000013,2017,M12,10.78
CEU0500000013,2018,M01,10.84
CEU0500000013,2018,M02,10.78
CEU0500000013,2018,M03,10.77
CEU0500000013,2018,M04,10.84
CEU0500000013,2018,M05,10.69
CEU0500000013,2018,M06,10.63
CEU0500000013,2018,M07,10.75
CEU0500000013,2018,M08,10.71
CEU0500000013,2018,M09,10.87
CEU0500000013,2018,M10,10.80
CEU0500000013,2018,M11,10.85
CEU0500000013,2018,M12,11.02
CEU0500000013,2019,M01,11.01
CEU0500000013,2019,M02,10.99
CEU0500000013,2019,M03,10.93
CEU0500000013,2019,M04,10.90
CEU0500000013,2019,M05,10.85
CEU0500000013,2019,M06,10.89
CEU0500000013,2019,M07,10.86
CEU0500000013,2019,M08,10.89
CEU0500000013,2019,M09,11.02
CEU0500000013,2019,M10,10.95
CEU0500000013,2019,M11,10.99
CEU0500000013,2019,M12,11.09
CEU0500000013,2020,M01,11.07
CEU0500000013,2020,M02,11.14
CEU0500000013,2020,M03,11.20
CEU0500000013,2020,M04,11.75
CEU0500000013,2020,M05,11.56
CEU0500000013,2020,M06,11.29
CEU0500000013,2020,M07,11.28
CEU0500000013,2020,M08,11.35
CEU0500000013,2020,M09,11.31
CEU0500000013,2020,M10,11.32
CEU0500000013,2020,M11,11.44
CEU0500000013,2020,M12,11.46
CEU0500000013,2021,M01,11.49
CEU0500000013,2021,M02,11.46
CEU0500000013,2021,M03,11.34
CEU0500000013,2021,M04,11.35
CEU0500000013,2021,M05,11.34
CEU0500000013,2021,M06,11.14
CEU0500000013,2021,M07,11.17
CEU0500000013,2021,M08,11.26
CEU0500000013,2021,M09,11.26
CEU0500000013,2021,M10,11.24
CEU0500000013,2021,M11,11.20
CEU0500000013,2021,M12,11.23
CEU0500000013,2022,M01,11.37
CEU0500000013,2022,M02,11.18
CEU0500000013,2022,M03,11.06
CEU0500000013,2022,M04,11.08
CEU0500000013,2022,M05,11.02
CEU0500000013,2022,M06,10.77
CEU0500000013,2022,M07,10.86
CEU0500000013,2022,M08,10.89
CEU0500000013,2022,M09,10.94
CEU0500000013,2022,M10,11.02
CEU0500000013,2022,M11,10.98
CEU0500000013,2022,M12,11.06
CEU0500000013,2023,M01,11.15
CEU0500000013,2023,M02,11.03
CEU0500000013,2023,M03,10.98
CEU0500000013,2023,M04,11.10
CEU0500000013,2023,M05,10.97
